Epoch,Loss,Accuracy
1,2.6264989376068115,0.2744140625
2,1.945448637008667,0.4619140625
3,1.6268680095672607,0.541015625
4,1.4397757053375244,0.564453125
5,1.3547471761703491,0.580078125
6,1.257122278213501,0.6123046875
7,1.1749944686889648,0.619140625
8,1.1282696723937988,0.6396484375
9,1.0573766231536865,0.6572265625
10,1.025230050086975,0.66796875
11,0.9818236827850342,0.689453125
12,0.9414831399917603,0.7109375
13,0.9250383377075195,0.7060546875
14,0.9049758315086365,0.71875
15,0.8949964046478271,0.7080078125
16,0.8427436351776123,0.7314453125
17,0.8383274674415588,0.7333984375
18,0.7903751134872437,0.7431640625
19,0.7805430889129639,0.7431640625
20,0.7663753032684326,0.7490234375
21,0.7537818551063538,0.759765625
22,0.7405428290367126,0.771484375
23,0.7220989465713501,0.7685546875
24,0.6928892135620117,0.7802734375
25,0.722964346408844,0.7666015625
26,0.6820844411849976,0.7822265625
27,0.6774286031723022,0.798828125
28,0.6579217314720154,0.7900390625
29,0.6353017687797546,0.802734375
30,0.6249948740005493,0.8046875
31,0.6009346842765808,0.7998046875
32,0.603114902973175,0.8095703125
33,0.577440083026886,0.8134765625
34,0.5770841836929321,0.81640625
35,0.5571125745773315,0.8056640625
36,0.5503798723220825,0.8193359375
37,0.563628613948822,0.80859375
38,0.5187323093414307,0.828125
39,0.5137439370155334,0.830078125
40,0.49838680028915405,0.8427734375
41,0.5026843547821045,0.83203125
42,0.5232511758804321,0.83203125
43,0.4899210035800934,0.8359375
44,0.46776366233825684,0.8427734375
45,0.4609948694705963,0.8486328125
46,0.47493046522140503,0.8388671875
47,0.45039334893226624,0.8544921875
48,0.44734835624694824,0.8525390625
49,0.44328391551971436,0.8583984375
50,0.42844685912132263,0.8525390625
51,0.4323100447654724,0.8525390625
52,0.3934587240219116,0.8759765625
53,0.43117761611938477,0.8544921875
54,0.4365072548389435,0.8515625
55,0.38218069076538086,0.865234375
56,0.3705121874809265,0.8798828125
57,0.40710973739624023,0.8662109375
58,0.3797381818294525,0.8701171875
59,0.3898612856864929,0.8642578125
60,0.3830198645591736,0.8681640625
61,0.3774346113204956,0.8828125
62,0.35293564200401306,0.8818359375
63,0.3676910400390625,0.8798828125
64,0.3736063241958618,0.8740234375
65,0.3526090681552887,0.8779296875
66,0.3477630615234375,0.8876953125
67,0.32664844393730164,0.8935546875
68,0.3586692214012146,0.8828125
69,0.3339081108570099,0.8876953125
70,0.34002789855003357,0.892578125
71,0.34140121936798096,0.8798828125
72,0.3116537034511566,0.8984375
73,0.32785749435424805,0.8896484375
74,0.33734244108200073,0.890625
75,0.3335932195186615,0.8994140625
76,0.28479593992233276,0.90234375
77,0.3254581689834595,0.8994140625
78,0.3138585090637207,0.888671875
79,0.31386613845825195,0.8974609375
80,0.28082090616226196,0.900390625
81,0.28217431902885437,0.9072265625
82,0.26328837871551514,0.9140625
83,0.2971626818180084,0.90234375
84,0.29546308517456055,0.900390625
85,0.27007073163986206,0.9150390625
86,0.29591700434684753,0.896484375
87,0.28292983770370483,0.908203125
88,0.2943413257598877,0.9072265625
89,0.2775624692440033,0.9013671875
90,0.2986460328102112,0.9033203125
